Note     AustraliaCanada   Denmark  UK       Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlandsUnited Stat         AustraliaCanada   Denmark  UK      Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlanUnited State
         AUS      CAN      DEN      GBR      JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET        USA                 AUS      CAN      DEN      GBR     JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET      USA         
         m_1      m_2      m_3      m_4      m_5      m_6      m_7      m_8      m_9      m_10     m_11     m_12     m_13     m_14     m_15     m_16     m_17       m_18                M_AUS    M_CAN    M_DEN    M_GBR   M_JPN    M_KOR    M_NOR    M_SWE    M_CHE    M_AUT    M_BEL    M_FRA    M_GER    M_ESP    M_ITA    M_FIN    M_NET    M_USA       
   1985.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1985.4    98803   207366   366668   15161306804000 28565330   317940   433890   285228  1110207  2142200  3318300  1074370 18867350555253000   165589   320109     2802205
   1986.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.1   100039   210048   365303   14305305596000 29169610   311610   422550   277298  1114264  2209400  3414400  1055640 22460100533459000   167582   329326     2828219
   1986.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.2   102672   210307   376796   14477313987000 30486820   317990   429480   283450  1130836  2258500  3408800  1069070 22484000536095000   173605   338231     2925421
   1986.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.3   104945   214070   368709   14769315416000 31890520   316410   434020   287895  1137753  2263800  3447700  1082390 23086800547876000   173985   334463     2978626
   1986.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.4   108252   222675   401194     ###335307000 33833070   332420   481170   294737  1205873  2366100  3571300  1144370 24026200604033000   178733   337199     3098725
   1987.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.1   111266   223743   388256     ###332427000 33408930   340420   460200   300955  1212531  2421500  3579000  1133430 23693900586811000   183426   343315     3052578
   1987.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.2   115729   233559   402655     ###345811000 35998990   347350   471870   309018  1234988  2521900  3639600  1147396 24448700597074000   191884   352804     3107321
   1987.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.3   119722   236423   385739     ###348533000 38036150   353530   461580   315565  1247324  2506200  3649300  1151912 25017900600903000   194114   346657     3123356
   1987.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.4   125603   242011   427306     ###372695000 40279550   385610   500500   325890  1296495  2581000  3698000  1212823 26055700649382000   200253   343483     3194543
   1988.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1988.1   126614   244372   396895     ###371711000 39813100   397620   483870   330491  1294315  2643500  3642500  1196740 26129900631781000   206271   347123     3279679
   1988.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1988.2   129231   258182   425148     ###385001000 42078270   402640   488140   336412  1320424  2703700  3688890  1214830 26976900647081000   218262   360861     3324133
   1988.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1988.3   139609   260176   417099     ###387007000 45113410   395350   479980   339476  1331932  2665900  3699880  1221590 27799800660265000   220456   358639     3330187
   1988.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1988.4   152393   267736   450945     ###409376000 48939080   404460   519650   343568  1371873  2718900  3880300  1283010 29050600709903000   246379   368766     3395209
   1989.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1989.1   168863   273555   430952     ###409268000 47740340   409250   508640   352161  1379026  2796100  3797000  1260380 29303500690137000   248951   374438     3377025
   1989.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1989.2   176265   283735   437944     ###422550000 49291770   421960   520370   356118  1398794  2864000  3871400  1262090 30806800710216000   261809   391965     3447481
   1989.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1989.3   186418   290880   428327     ###427355000 52455500   420460   514900   357892  1435784  2880200  3925600  1271430 31766400713936000   260453   397636     3496151
   1989.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1989.4   194017   303678   456900     ###457624000 58637070   435000   571680   365155  1469256  2994800  4075400  1348050 33067500771973000   269758   406321     3591016
   1990.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1990.1   198193   304875   444196     ###460616000 58454830   444560   563710   360371  1475310  3106900  4018000  1315210 33037500741947000   277623   414017     3619605
   1990.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1990.2   202726   312135   461628     ###479450000 60470390   451300   566060   359683  1505720  3087100  4057100  1496620 34940800757660000   281785   429050     3646157
   1990.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1990.3   211247   315862   460448     ###487061000 64553100   446300   555060   361380  1530797  3011100  4049500  1517960 35533100773932000   276342   429615     3685321
   1990.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1990.4   218762   327358   486720     ###495008000 68707500   460900   636460   368203  1611193  3117200  4208100  1598680 37552800850334000   283330   434430     3767395
   1991.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1991.1   215987   329144   471159     ###494789000 70168500   466670   620640   370150  1601499  3221600  4076800  1566816 37901200813087000   283546   439120     3817985
   1991.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1991.2   217592   336443   483265     ###498456000 72213600   463990   635090   370773  1637729  3287300  4101000  1573070 39912200827888000   287761   449162     3821113
   1991.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1991.3   217846   336295   496928     ###495704000 76170700   490840   623610   369127  1649782  3220400  4074700  1588200 40538300838126000   285423   447462     3831562
   1991.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1991.4   221331   343219   505852     ###507526000 83745800   509810   661790   376786  1730936  3280100  4173800  1700608 42349600930516000   295902   454992     3889999
   1992.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1992.1   219895   347524   499618     ###500080000 83804300   499130   640420   376805  1733950  3239000  4081500  1680660 42524000888879000   291547   460520     3899802
   1992.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1992.2   223715   353670   507947     ###500855000 86185300   517420   637840   378462  1758629  3377800  4121200  1711780 43638600906065000   288680   469865     3900875
   1992.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1992.3   235378   361340   501181     ###496105000 89345800   517650   599480   376431  1764489  3264700  4093600  1753810 44097700904874000   287119   475718     3900853
